	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5	day30_rep2_tbx5	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe
LOC105376845	3	70	22	7	9	10
LOC105376850	8	233	9	12	4	17
LOC107985377	0	0	0	0	0	0
MIR4418	0	1	0	0	0	1
LOC105376856	15	2	16	16	28	35
ZBTB40	1387	3749	1664	1690	1509	1894
EPHA8	8	11	4	18	16	4
MIR6127	0	0	0	0	0	0
C1QA	0	3	0	0	1	4
C1QC	0	2	0	0	0	4
C1QB	0	0	0	0	0	2
EPHB2	4614	1652	4179	4688	1101	3123
MIR4684	0	0	0	0	0	0
MIR4253	0	0	0	0	0	0
LOC124903874	0	0	1	6	0	0
LACTBL1	1	3	0	0	1	0
TEX46	0	0	3	4	1	0
KDM1A	4063	4890	4528	4554	4806	4199
MIR3115	0	0	0	0	0	0
LUZP1	4947	7189	3900	3718	3580	5536
HTR1D	7	6	8	8	68	12
LINC01355	81	32	82	58	150	105
HNRNPR	5894	6779	3973	3590	5744	5827
ZNF436	603	781	1299	1750	3302	2941
ZNF436-AS1	91	85	118	233	148	132
TCEA3	63	58	291	704	2220	1959
LOC124903875	1	3	9	10	18	18
ASAP3	910	684	2035	3446	1998	2187
E2F2	97	19	67	156	251	80
LOC101928163	1	0	0	0	1	0
LOC124903876	0	1	4	2	1	2
LOC105376859	5	16	13	17	4	9
ID3	2970	993	2673	7340	3696	2415
LOC107984928	3	6	4	18	5	5
MDS2	2	5	0	0	0	0
RPL11	14129	10410	13098	21974	20585	19290
ELOA	2147	4188	1804	1738	2237	2722
ELOA-AS1	10	16	18	20	34	26
PITHD1	1224	2982	1506	2053	1760	1652
LOC105376860	5	11	3	3	2	7
LYPLA2	3151	2930	2366	2742	1627	1681
GALE	1579	1078	914	1263	815	685
HMGCL	442	1088	771	877	814	972
LOC105376861	0	3	4	2	4	1
FUCA1	480	1843	888	879	316	417
CNR2	1	8	7	5	5	2
MIR378F	0	0	0	0	0	0
LOC124903877	1	1	1	1	1	0
PNRC2	2691	3608	2344	1883	3284	3755
SRSF10	3502	2228	3143	3037	5625	4684
LOC105378615	0	0	0	0	0	0
LOC105376863	0	0	4	0	1	1
LOC107984931	0	1	0	0	0	0
MYOM3	13	14	76	177	21	72
MYOM3-AS1	0	0	0	0	0	0
LOC124903878	0	0	0	2	1	0
LOC105376864	0	0	0	2	1	1
IL22RA1	4	2	10	1	7	8
LOC124903879	30	25	75	97	492	561
IFNLR1	61	137	95	117	136	160
LINC02800	0	0	0	0	0	0
GRHL3-AS1	1	0	2	0	0	0
GRHL3	12	29	26	8	17	29
STPG1	167	330	127	142	238	223
NIPAL3	1064	1792	2713	2097	1175	1436
RCAN3AS	0	0	0	0	0	1
RCAN3	648	323	456	381	382	366
NCMAP-DT	0	0	2	1	0	0
NCMAP	4	16	31	26	12	12
SRRM1	2651	4452	3450	3336	3934	3788
LOC124904829	0	0	2	0	0	1
CLIC4	11869	8556	19241	25066	23248	25223
LOC105376876	0	0	2	0	0	1
RUNX3	13	105	4	11	16	17
MIR6731	0	0	0	0	0	0
RUNX3-AS1	2	1	0	0	0	0
MIR4425	0	0	0	0	0	0
LINC02793	0	0	0	0	0	0
LOC124903880	0	1	0	0	0	0
SYF2	901	4084	1097	1009	1879	1697
LOC124903881	21	35	12	25	42	40
RSRP1	1813	1827	4607	1837	1782	2131
LOC105376882	0	0	0	0	0	0
RHD	1	3	4	4	0	0
TMEM50A	3070	4547	2972	3613	3333	3270
LOC124904823	5	3	0	0	1	1
RHCE	9	24	53	50	13	47
MACO1	1284	1876	1544	1296	1093	1212
LDLRAP1	801	734	1588	1467	632	1182
MAN1C1	703	359	3589	12446	3801	3359
SELENON	3222	2863	5537	10267	3347	4427
